Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Guinea Pig,Species_Rabbit Sh
2025-03-31,39,50.0,50.0,7.27,67.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,5.83,149.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-03-31,39,50.0,50.0,5.73,14.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-03-31,39,50.0,50.0,5.73,14.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-03-31,39,50.0,50.0,5.43,41.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-03-31,39,50.0,50.0,5.33,5.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-03-31,39,50.0,50.0,5.33,5.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-03-31,39,50.0,50.0,5.33,5.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-03-31,39,50.0,50.0,5.1,23.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-03-31,39,50.0,50.0,4.73,52.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,3.4,4.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-03-31,39,50.0,50.0,3.33,15.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-03-31,39,50.0,50.0,3.33,15.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-03-31,39,50.0,50.0,2.9,45.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,1.73,73.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-03-31,39,50.0,50.0,1.53,13.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,1.33,85.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,1.1,60.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,1.1,96.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,1.07,18.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,0.97,36.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,0.73,40.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,0.7,68.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,0.67,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,0.57,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,0.5,48.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,0.47,34.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,0.47,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-03-31,39,50.0,50.0,0.47,48.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-03-31,39,50.0,50.0,0.4,60.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,0.37,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,0.23,72.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,0.23,14.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,0.23,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,0.23,24.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-03-31,39,50.0,50.0,0.17,12.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-03-31,39,50.0,50.0,0.13,24.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,0.07,42.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-03-31,39,50.0,50.0,0.07,25.0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
