Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Cat,Species_Dog,Species_Dutch,Species_Rabbit Sh
2025-04-15,33,54.0,0.0,6.33,150.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2025-04-15,33,54.0,0.0,5.93,41.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2025-04-15,33,54.0,0.0,5.83,6.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-04-15,33,54.0,0.0,5.6,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-04-15,33,54.0,0.0,5.23,53.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,3.9,5.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-04-15,33,54.0,0.0,3.83,15.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-04-15,33,54.0,0.0,3.83,15.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-04-15,33,54.0,0.0,3.4,46.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,1.83,85.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,1.57,19.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,1.47,37.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,1.23,40.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,1.17,25.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,1.07,25.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,1.0,48.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,0.93,12.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-04-15,33,54.0,0.0,0.9,60.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,0.87,24.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,0.67,92.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,0.63,12.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,0.63,25.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,0.57,24.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,0.43,36.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,0.37,48.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,0.37,58.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,0.37,24.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,0.37,24.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,0.33,25.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,0.27,8.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,0.27,60.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,0.27,24.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2025-04-15,33,54.0,0.0,0.17,24.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
