Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Bird,Species_Cat,Species_Dog,Species_Rabbit Sh
2025-05-03,51,58.0,0.0,6.53,42.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-03,51,58.0,0.0,6.43,6.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-03,51,58.0,0.0,6.2,24.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-03,51,58.0,0.0,5.83,53.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,4.5,5.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-03,51,58.0,0.0,4.43,16.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-03,51,58.0,0.0,4.43,16.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-03,51,58.0,0.0,4.0,46.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,2.43,86.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,2.17,19.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,1.83,41.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,1.67,25.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,1.6,49.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,1.5,61.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,1.43,37.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-03,51,58.0,0.0,1.27,92.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,0.97,48.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,0.93,25.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,0.87,60.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,0.77,36.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,0.67,60.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,0.6,40.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,0.6,72.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,0.57,9.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-03,51,58.0,0.0,0.57,9.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-03,51,58.0,0.0,0.47,60.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,0.43,36.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,0.4,24.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,0.37,12.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,0.37,13.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,0.33,10.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,0.33,18.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,0.33,68.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,0.33,39.0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-05-03,51,58.0,0.0,0.3,38.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-03,51,58.0,0.0,0.3,60.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-03,51,58.0,0.0,0.3,24.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-03,51,58.0,0.0,0.27,58.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-03,51,58.0,0.0,0.27,12.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-03,51,58.0,0.0,0.27,22.0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-05-03,51,58.0,0.0,0.27,12.0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-05-03,51,58.0,0.0,0.27,25.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
