Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Bird,Species_Cat,Species_Dog,Species_Guinea Pig,Species_Rabbit Sh
2025-05-10,46,56.0,50.0,6.77,42.0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-05-10,46,56.0,50.0,6.67,6.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-10,46,56.0,50.0,6.43,24.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-10,46,56.0,50.0,4.73,6.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-10,46,56.0,50.0,4.67,16.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-10,46,56.0,50.0,4.67,16.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-10,46,56.0,50.0,4.23,47.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,2.67,86.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,2.4,20.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,2.07,25.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,2.07,41.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,1.83,49.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,1.73,61.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,1.5,93.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,1.2,49.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,1.1,60.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.9,60.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.83,72.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.83,40.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.8,9.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-10,46,56.0,50.0,0.8,9.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-10,46,56.0,50.0,0.7,60.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.63,24.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.6,12.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.6,13.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.57,68.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.57,18.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.53,60.0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-05-10,46,56.0,50.0,0.5,12.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.4,6.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-10,46,56.0,50.0,0.4,6.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-10,46,56.0,50.0,0.4,18.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.4,3.5,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.33,18.0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-05-10,46,56.0,50.0,0.27,24.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-10,46,56.0,50.0,0.27,151.0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-05-10,46,56.0,50.0,0.23,24.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.23,24.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.2,12.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.2,0.0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-05-10,46,56.0,50.0,0.17,3.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-05-10,46,56.0,50.0,0.13,54.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.1,102.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-05-10,46,56.0,50.0,0.07,60.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.07,5.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
2025-05-10,46,56.0,50.0,0.07,86.0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
