Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Bird,Species_Cat,Species_Dog,Species_Dwarf,Species_Rabbit Sh,Species_Species_Kitten
2025-06-01,72,53.0,50.0,7.4,7.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-06-01,72,53.0,50.0,7.17,25.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-06-01,72,53.0,50.0,5.47,6.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-06-01,72,53.0,50.0,4.97,47.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,3.4,87.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,2.8,26.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,2.8,42.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,2.57,50.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,2.47,62.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,2.17,6.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,2.07,2.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,2.07,2.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,1.93,49.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,1.63,61.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,1.53,10.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-06-01,72,53.0,50.0,1.53,10.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
2025-06-01,72,53.0,50.0,1.43,61.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,1.33,13.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,1.3,69.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,0.93,12.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,0.93,14.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,0.73,24.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,0.7,54.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,0.7,10.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,0.67,120.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,0.57,12.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
2025-06-01,72,53.0,50.0,0.53,24.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-06-01,72,53.0,50.0,0.5,36.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-06-01,72,53.0,50.0,0.47,96.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-06-01,72,53.0,50.0,0.4,16.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,0.4,84.0,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2025-06-01,72,53.0,50.0,0.4,12.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,0.37,12.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,0.33,0.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2025-06-01,72,53.0,50.0,0.3,2.25,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.3,48.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-06-01,72,53.0,50.0,0.23,3.25,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
2025-06-01,72,53.0,50.0,0.23,8.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.23,8.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.23,8.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.23,8.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.23,8.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.23,24.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-06-01,72,53.0,50.0,0.23,8.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.23,8.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.23,5.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.23,24.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-06-01,72,53.0,50.0,0.23,8.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.17,2.25,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2025-06-01,72,53.0,50.0,0.17,24.0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2025-06-01,72,53.0,50.0,0.17,2.25,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
