Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Rabbit Sh,Species_Species_Kitten
2025-06-17,80,59.0,0.0,7.93,8.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-06-17,80,59.0,0.0,7.7,26.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-06-17,80,59.0,0.0,6.0,7.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-06-17,80,59.0,0.0,5.5,48.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,3.93,87.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,3.33,43.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,3.1,50.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,2.47,50.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,2.07,11.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-06-17,80,59.0,0.0,2.07,11.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-06-17,80,59.0,0.0,1.97,61.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,1.87,14.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,1.83,69.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,1.77,4.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,1.47,13.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,1.37,2.25,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,1.37,2.25,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,1.37,2.25,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,1.37,99.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,1.27,25.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,1.2,120.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,1.03,2.5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,1.03,2.5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.93,17.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.87,12.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.87,48.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.8,44.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.77,8.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.77,8.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.7,4.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.7,4.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.67,30.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.67,16.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.57,3.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.53,6.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-06-17,80,59.0,0.0,0.5,18.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.5,36.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.5,24.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.47,24.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-06-17,80,59.0,0.0,0.47,72.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.47,36.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.43,3.5,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.43,13.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.43,12.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-06-17,80,59.0,0.0,0.43,13.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.43,18.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-06-17,80,59.0,0.0,0.43,49.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.43,53.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.43,60.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.43,13.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.4,60.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.4,102.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.37,62.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.37,36.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.37,27.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-06-17,80,59.0,0.0,0.37,36.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.3,48.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-06-17,80,59.0,0.0,0.27,3.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-06-17,80,59.0,0.0,0.23,24.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
