Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Mouse,Species_Rabbit Sh,Species_Species_Kitten
2025-06-29,79,63.0,0.0,8.33,8.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-06-29,79,63.0,0.0,8.1,26.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-06-29,79,63.0,0.0,6.4,7.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-06-29,79,63.0,0.0,5.9,48.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,3.73,43.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,2.87,50.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,2.47,11.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-06-29,79,63.0,0.0,2.47,11.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2025-06-29,79,63.0,0.0,2.37,61.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,2.27,14.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,2.23,70.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,1.87,13.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,1.77,99.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,1.67,25.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,1.6,121.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,1.37,3.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,1.2,45.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,1.07,16.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,1.0,24.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,0.97,3.25,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.9,3.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.9,36.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-06-29,79,63.0,0.0,0.9,3.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2025-06-29,79,63.0,0.0,0.87,72.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,0.83,53.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,0.83,24.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,0.8,103.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,0.8,20.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-06-29,79,63.0,0.0,0.8,20.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2025-06-29,79,63.0,0.0,0.77,62.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,0.77,27.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2025-06-29,79,63.0,0.0,0.7,46.0,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
