Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Guinea Pig,Species_Rabbit Sh,Species_Species_Kitten
2025-07-11,76,63.0,0.0,8.73,9.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-07-11,76,63.0,0.0,8.5,26.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-07-11,76,63.0,0.0,6.8,8.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-07-11,76,63.0,0.0,6.3,49.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-07-11,76,63.0,0.0,3.27,51.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-07-11,76,63.0,0.0,2.87,11.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-07-11,76,63.0,0.0,2.87,11.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-07-11,76,63.0,0.0,2.77,62.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-07-11,76,63.0,0.0,2.67,15.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-07-11,76,63.0,0.0,2.63,70.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-07-11,76,63.0,0.0,2.0,4.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-07-11,76,63.0,0.0,2.0,4.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-07-11,76,63.0,0.0,2.0,4.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-07-11,76,63.0,0.0,1.83,3.25,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-07-11,76,63.0,0.0,1.83,3.25,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-07-11,76,63.0,0.0,1.83,3.25,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-07-11,76,63.0,0.0,1.6,45.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-07-11,76,63.0,0.0,1.5,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-07-11,76,63.0,0.0,1.5,2.5,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-07-11,76,63.0,0.0,1.5,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-07-11,76,63.0,0.0,1.47,17.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-07-11,76,63.0,0.0,1.3,37.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
