Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Dwarf,Species_Lop-Mini,Species_Rabbit Sh,Species_Species_Kitten
2025-07-25,69,62.0,0.0,8.97,27.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-07-25,69,62.0,0.0,7.27,8.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-07-25,69,62.0,0.0,6.77,49.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-07-25,69,62.0,0.0,4.6,44.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-07-25,69,62.0,0.0,3.83,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-07-25,69,62.0,0.0,3.73,51.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-07-25,69,62.0,0.0,3.13,15.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-07-25,69,62.0,0.0,3.1,70.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-07-25,69,62.0,0.0,2.37,14.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2025-07-25,69,62.0,0.0,2.07,45.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2025-07-25,69,62.0,0.0,1.97,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-07-25,69,62.0,0.0,1.97,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2025-07-25,69,62.0,0.0,1.97,3.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-07-25,69,62.0,0.0,1.97,3.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2025-07-25,69,62.0,0.0,1.97,13.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
