Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Dwarf,Species_Rabbit Sh,Species_Rex,Species_Species_Kitten
2025-07-28,61,63.0,0.0,6.87,49.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-07-28,61,63.0,0.0,4.7,44.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-07-28,61,63.0,0.0,3.2,70.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-07-28,61,63.0,0.0,2.47,14.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2025-07-28,61,63.0,0.0,2.17,46.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-07-28,61,63.0,0.0,2.07,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2025-07-28,61,63.0,0.0,2.07,3.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-07-28,61,63.0,0.0,2.07,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2025-07-28,61,63.0,0.0,2.07,3.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-07-28,61,63.0,0.0,2.03,17.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-07-28,61,63.0,0.0,1.8,54.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-07-28,61,63.0,0.0,1.63,73.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-07-28,61,63.0,0.0,1.57,73.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-07-28,61,63.0,0.0,1.1,3.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-07-28,61,63.0,0.0,0.97,48.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-07-28,61,63.0,0.0,0.9,2.75,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-07-28,61,63.0,0.0,0.9,2.5,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-07-28,61,63.0,0.0,0.9,3.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-07-28,61,63.0,0.0,0.83,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2025-07-28,61,63.0,0.0,0.83,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
