Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Dwarf,Species_Lionhead,Species_Rabbit Sh,Species_Species_Kitten
2025-08-11,39,71.0,0.0,9.53,27.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2025-08-11,39,71.0,0.0,7.83,9.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2025-08-11,39,71.0,0.0,7.33,50.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-08-11,39,71.0,0.0,3.7,16.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-08-11,39,71.0,0.0,3.67,61.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-08-11,39,71.0,0.0,2.93,14.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2025-08-11,39,71.0,0.0,2.63,46.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-08-11,39,71.0,0.0,2.53,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2025-08-11,39,71.0,0.0,2.53,0.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2025-08-11,39,71.0,0.0,2.03,73.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-08-11,39,71.0,0.0,1.43,49.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-08-11,39,71.0,0.0,1.23,37.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-08-11,39,71.0,0.0,1.1,25.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-08-11,39,71.0,0.0,0.8,74.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-08-11,39,71.0,0.0,0.6,2.5,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-08-11,39,71.0,0.0,0.6,2.5,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-08-11,39,71.0,0.0,0.57,74.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-08-11,39,71.0,0.0,0.57,36.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-08-11,39,71.0,0.0,0.4,18.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-08-11,39,71.0,0.0,0.37,63.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-08-11,39,71.0,0.0,0.37,97.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-08-11,39,71.0,0.0,0.33,5.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
2025-08-11,39,71.0,0.0,0.33,24.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-08-11,39,71.0,0.0,0.33,24.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-08-11,39,71.0,0.0,0.33,5.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2025-08-11,39,71.0,0.0,0.3,24.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-08-11,39,71.0,0.0,0.27,24.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-08-11,39,71.0,0.0,0.27,132.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-08-11,39,71.0,0.0,0.27,24.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-08-11,39,71.0,0.0,0.23,36.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-08-11,39,71.0,0.0,0.2,60.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-08-11,39,71.0,0.0,0.2,120.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-08-11,39,71.0,0.0,0.2,4.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2025-08-11,39,71.0,0.0,0.17,96.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
2025-08-11,39,71.0,0.0,0.13,24.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-08-11,39,71.0,0.0,0.1,24.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-08-11,39,71.0,0.0,0.1,18.0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
2025-08-11,39,71.0,0.0,0.07,5.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2025-08-11,39,71.0,0.0,0.03,12.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
