Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Bird,Species_Cat,Species_Dog,Species_Dwarf,Species_Hamster,Species_Rabbit Sh,Species_Species_Kitten
2025-08-21,36,62.0,0.0,9.87,28.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-08-21,36,62.0,0.0,8.17,9.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-08-21,36,62.0,0.0,4.03,16.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-21,36,62.0,0.0,4.0,61.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-21,36,62.0,0.0,3.27,15.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-08-21,36,62.0,0.0,2.87,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-08-21,36,62.0,0.0,2.87,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-08-21,36,62.0,0.0,2.63,74.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-21,36,62.0,0.0,2.43,74.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-21,36,62.0,0.0,2.37,74.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-21,36,62.0,0.0,1.57,37.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-21,36,62.0,0.0,1.13,74.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-21,36,62.0,0.0,0.77,12.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-08-21,36,62.0,0.0,0.73,5.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-08-21,36,62.0,0.0,0.7,64.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-21,36,62.0,0.0,0.67,5.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-08-21,36,62.0,0.0,0.57,12.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-21,36,62.0,0.0,0.5,36.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-08-21,36,62.0,0.0,0.5,156.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-21,36,62.0,0.0,0.5,76.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-08-21,36,62.0,0.0,0.43,12.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-08-21,36,62.0,0.0,0.4,5.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-08-21,36,62.0,0.0,0.4,5.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-08-21,36,62.0,0.0,0.37,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-08-21,36,62.0,0.0,0.37,0.0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2025-08-21,36,62.0,0.0,0.33,10.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-21,36,62.0,0.0,0.3,33.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-08-21,36,62.0,0.0,0.3,60.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-21,36,62.0,0.0,0.23,2.25,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-08-21,36,62.0,0.0,0.23,2.25,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-08-21,36,62.0,0.0,0.23,2.25,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-08-21,36,62.0,0.0,0.17,12.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-08-21,36,62.0,0.0,0.17,2.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-08-21,36,62.0,0.0,0.07,3.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-08-21,36,62.0,0.0,0.07,3.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-08-21,36,62.0,0.0,0.03,48.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
