Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Dwarf,Species_Rabbit Sh,Species_Species_Kitten
2025-08-26,45,71.0,0.0,10.03,28.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-08-26,45,71.0,0.0,8.33,9.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-08-26,45,71.0,0.0,4.9,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-08-26,45,71.0,0.0,4.9,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-08-26,45,71.0,0.0,4.2,16.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-08-26,45,71.0,0.0,4.17,61.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-08-26,45,71.0,0.0,3.43,15.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2025-08-26,45,71.0,0.0,3.03,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-08-26,45,71.0,0.0,3.03,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-08-26,45,71.0,0.0,2.53,74.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-08-26,45,71.0,0.0,1.8,13.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-08-26,45,71.0,0.0,1.73,37.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-08-26,45,71.0,0.0,1.3,75.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-08-26,45,71.0,0.0,1.13,3.5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-08-26,45,71.0,0.0,1.13,3.5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-08-26,45,71.0,0.0,1.13,3.5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-08-26,45,71.0,0.0,1.13,3.5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-08-26,45,71.0,0.0,0.87,64.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-08-26,45,71.0,0.0,0.67,156.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-08-26,45,71.0,0.0,0.67,76.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-08-26,45,71.0,0.0,0.6,12.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2025-08-26,45,71.0,0.0,0.57,5.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-08-26,45,71.0,0.0,0.57,5.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2025-08-26,45,71.0,0.0,0.5,6.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-08-26,45,71.0,0.0,0.5,10.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-08-26,45,71.0,0.0,0.4,2.5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-08-26,45,71.0,0.0,0.4,2.5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-08-26,45,71.0,0.0,0.4,2.5,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2025-08-26,45,71.0,0.0,0.37,36.0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2025-08-26,45,71.0,0.0,0.37,36.0,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
