Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Bird,Species_Cat,Species_Dog,Species_Dwarf,Species_Goat,Species_Rabbit Sh
2025-09-03,37,65.0,0.0,10.3,28.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-03,37,65.0,0.0,8.6,9.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-03,37,65.0,0.0,5.17,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-03,37,65.0,0.0,5.17,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-03,37,65.0,0.0,4.43,72.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-09-03,37,65.0,0.0,3.7,15.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-09-03,37,65.0,0.0,3.3,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-03,37,65.0,0.0,3.3,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-03,37,65.0,0.0,2.2,50.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-09-03,37,65.0,0.0,2.07,13.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-03,37,65.0,0.0,1.57,75.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-09-03,37,65.0,0.0,1.13,64.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-09-03,37,65.0,0.0,0.93,96.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-03,37,65.0,0.0,0.83,5.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-03,37,65.0,0.0,0.83,5.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-03,37,65.0,0.0,0.77,10.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-09-03,37,65.0,0.0,0.73,12.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-09-03,37,65.0,0.0,0.6,12.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-09-03,37,65.0,0.0,0.6,12.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-09-03,37,65.0,0.0,0.6,24.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-09-03,37,65.0,0.0,0.57,36.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-09-03,37,65.0,0.0,0.57,24.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-09-03,37,65.0,0.0,0.53,6.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-03,37,65.0,0.0,0.5,24.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-03,37,65.0,0.0,0.47,4.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-03,37,65.0,0.0,0.47,48.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-09-03,37,65.0,0.0,0.47,4.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-03,37,65.0,0.0,0.4,12.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-03,37,65.0,0.0,0.4,74.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-09-03,37,65.0,0.0,0.4,72.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-03,37,65.0,0.0,0.23,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-09-03,37,65.0,0.0,0.23,0.0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-09-03,37,65.0,0.0,0.2,55.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-09-03,37,65.0,0.0,0.17,0.0,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-09-03,37,65.0,0.0,0.13,12.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-09-03,37,65.0,0.0,0.1,25.0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-09-03,37,65.0,0.0,0.1,36.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
