Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Bird,Species_Cat,Species_Dog,Species_Dwarf,Species_Goat,Species_Rabbit Sh,Species_Species_Kitten
2025-09-05,53,67.0,0.0,10.37,28.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-09-05,53,67.0,0.0,8.67,9.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-09-05,53,67.0,0.0,5.23,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-09-05,53,67.0,0.0,5.23,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-09-05,53,67.0,0.0,4.5,72.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-05,53,67.0,0.0,3.77,15.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-09-05,53,67.0,0.0,3.37,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-09-05,53,67.0,0.0,3.37,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-09-05,53,67.0,0.0,2.27,50.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-05,53,67.0,0.0,2.13,14.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-09-05,53,67.0,0.0,1.63,75.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-05,53,67.0,0.0,1.2,64.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-05,53,67.0,0.0,1.2,2.5,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-05,53,67.0,0.0,0.93,3.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-05,53,67.0,0.0,0.9,5.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-09-05,53,67.0,0.0,0.9,5.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-09-05,53,67.0,0.0,0.83,2.75,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-05,53,67.0,0.0,0.83,4.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-05,53,67.0,0.0,0.83,5.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-05,53,67.0,0.0,0.83,10.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-05,53,67.0,0.0,0.8,12.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-05,53,67.0,0.0,0.8,3.25,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-05,53,67.0,0.0,0.67,24.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-05,53,67.0,0.0,0.67,12.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-05,53,67.0,0.0,0.63,24.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-05,53,67.0,0.0,0.63,36.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-05,53,67.0,0.0,0.6,6.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-09-05,53,67.0,0.0,0.53,4.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-09-05,53,67.0,0.0,0.53,25.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-05,53,67.0,0.0,0.53,48.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-05,53,67.0,0.0,0.53,4.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-09-05,53,67.0,0.0,0.47,74.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-05,53,67.0,0.0,0.47,12.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-09-05,53,67.0,0.0,0.3,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-09-05,53,67.0,0.0,0.3,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
2025-09-05,53,67.0,0.0,0.27,55.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-05,53,67.0,0.0,0.23,0.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2025-09-05,53,67.0,0.0,0.23,24.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-09-05,53,67.0,0.0,0.2,60.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-05,53,67.0,0.0,0.2,12.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-05,53,67.0,0.0,0.2,3.25,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-05,53,67.0,0.0,0.2,3.25,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-05,53,67.0,0.0,0.17,25.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2025-09-05,53,67.0,0.0,0.17,3.25,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-05,53,67.0,0.0,0.1,12.0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
2025-09-05,53,67.0,0.0,0.1,4.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-05,53,67.0,0.0,0.07,2.5,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-05,53,67.0,0.0,0.07,2.5,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-05,53,67.0,0.0,0.07,2.25,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-05,53,67.0,0.0,0.07,2.25,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-05,53,67.0,0.0,0.07,2.25,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-05,53,67.0,0.0,0.07,2.25,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2025-09-05,53,67.0,0.0,0.03,20.0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
