Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Bird,Species_Cat,Species_Dog,Species_Rabbit Sh,Species_Species_Kitten
2025-09-18,57,64.0,0.0,15.5,27.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-09-18,57,64.0,0.0,10.8,29.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-09-18,57,64.0,0.0,9.1,10.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-09-18,57,64.0,0.0,6.3,6.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-09-18,57,64.0,0.0,6.3,42.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-09-18,57,64.0,0.0,6.3,6.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-09-18,57,64.0,0.0,5.67,14.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-09-18,57,64.0,0.0,5.67,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-09-18,57,64.0,0.0,5.67,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-09-18,57,64.0,0.0,5.37,5.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-09-18,57,64.0,0.0,5.37,5.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-09-18,57,64.0,0.0,5.37,5.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-09-18,57,64.0,0.0,3.8,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-09-18,57,64.0,0.0,3.8,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-09-18,57,64.0,0.0,3.57,75.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,2.7,50.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,2.57,14.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-09-18,57,64.0,0.0,2.07,75.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,2.0,37.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-09-18,57,64.0,0.0,1.77,3.75,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-09-18,57,64.0,0.0,1.63,65.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,1.4,61.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,1.33,6.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-09-18,57,64.0,0.0,1.33,6.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-09-18,57,64.0,0.0,1.07,25.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,0.97,4.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-09-18,57,64.0,0.0,0.97,4.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-09-18,57,64.0,0.0,0.97,26.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,0.9,12.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-09-18,57,64.0,0.0,0.73,62.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,0.7,12.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2025-09-18,57,64.0,0.0,0.6,60.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,0.6,0.0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2025-09-18,57,64.0,0.0,0.6,24.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,0.6,26.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,0.53,48.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,0.53,96.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,0.5,104.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,0.5,42.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,0.47,10.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-09-18,57,64.0,0.0,0.43,2.5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-09-18,57,64.0,0.0,0.43,2.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-09-18,57,64.0,0.0,0.43,2.5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-09-18,57,64.0,0.0,0.43,2.5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-09-18,57,64.0,0.0,0.43,2.5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-09-18,57,64.0,0.0,0.4,72.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,0.37,12.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-09-18,57,64.0,0.0,0.37,3.5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-09-18,57,64.0,0.0,0.37,4.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-09-18,57,64.0,0.0,0.37,12.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
2025-09-18,57,64.0,0.0,0.37,12.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,0.37,3.5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2025-09-18,57,64.0,0.0,0.3,7.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,0.27,12.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,0.2,24.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,0.17,7.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
2025-09-18,57,64.0,0.0,0.03,10.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
