Date,NumOfAnimals,average_temp,Precipitation,MonthsInCare,AgeInMonths,Season_Spring,Season_Summer,Season_Fall,Season_Winter,DayOfWeek_Monday,DayOfWeek_Tuesday,DayOfWeek_Wednesday,DayOfWeek_Thursday,DayOfWeek_Friday,DayOfWeek_Saturday,DayOfWeek_Sunday,Species_Barn Cat,Species_Cat,Species_Dog,Species_Guinea Pig,Species_Lionhead,Species_Lop-Holland,Species_Rabbit Sh,Species_Species_Kitten
2025-10-24,104,52.0,0.0,12.0,30.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-10-24,104,52.0,0.0,10.3,11.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-10-24,104,52.0,0.0,6.87,15.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-10-24,104,52.0,0.0,6.87,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-10-24,104,52.0,0.0,6.87,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-10-24,104,52.0,0.0,6.87,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-10-24,104,52.0,0.0,6.57,6.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-10-24,104,52.0,0.0,5.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-10-24,104,52.0,0.0,5.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-10-24,104,52.0,0.0,4.27,8.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-10-24,104,52.0,0.0,3.77,15.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2025-10-24,104,52.0,0.0,3.27,77.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-10-24,104,52.0,0.0,3.2,39.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-10-24,104,52.0,0.0,3.1,6.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-10-24,104,52.0,0.0,3.1,6.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2025-10-24,104,52.0,0.0,2.37,19.0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-10-24,104,52.0,0.0,2.37,2.5,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2025-10-24,104,52.0,0.0,2.3,7.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2025-10-24,104,52.0,0.0,1.9,2.25,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
